asset_tag,name,asset_type,status,location,vendor,assigned_to,purchase_date,purchase_cost,serial_number,warranty_expiry
AST-1027,AutoCAD Subscription,Software License,Pending Disposal,Repair Workshop,OfficeWorks Supply Co.,,2021-04-30,1235.8,SN-833811,2025-07-24
AST-1028,supportportal.com,Website Domain Name,Disposed,Retail Front,TechSource Solution,,2025-10-06,3813.34,SN-453452,2025-06-20
AST-1029,Adobe Creative Cloud,Software License,Under Maintenance,Main Office,OfficeWorks Supply Co.,,2020-03-08,4042.56,SN-337683,2025-07-03
AST-1030,securehub.org,Website Domain Name,Pending Disposal,Storage Warehouse,TechSource Solution,,2019-10-08,1576.12,SN-762984,2026-03-05
AST-1031,Slack Enterprise Plan,Software License,Stolen,Storage Warehouse,Gulf Coast IT Hardware,,2019-08-23,759.27,SN-711211,2027-02-20
AST-1032,Filing Cabinet 4-Drawer,Office Furniture,In Use,Retail Front,OfficeWorks Supply Co.,,2023-11-14,3613.15,SN-224122,2027-10-20
AST-1033,TP-Link Gigabit Hub,Networking Equipment,Disposed,Repair Workshop,Gulf Coast IT Hardware,,2020-08-03,3222.75,SN-578016,2027-08-17
AST-1034,MacBook Air M2,Laptop,In Storage,Retail Front,TechSource Solution,,2024-07-19,485.92,SN-567948,2026-11-12
AST-1035,Filing Cabinet 4-Drawer,Office Furniture,Disposed,Main Office,TechSource Solution,,2022-06-28,2691.0,SN-766195,2026-07-11
AST-1036,Cisco Catalyst 2960 Switch,Networking Equipment,Disposed,Storage Warehouse,TechSource Solution,,2024-01-18,3189.27,SN-564003,2025-05-29
AST-1037,techsource.biz,Website Domain Name,Lost,Retail Front,Precision Audio Visual,,2020-02-29,844.2,SN-863719,2025-05-20
AST-1038,Ubiquiti UniFi Access Point,Networking Equipment,In Storage,Storage Warehouse,Precision Audio Visual,,2021-08-28,2600.09,SN-699244,2026-09-18
AST-1039,companysite.com,Website Domain Name,Under Maintenance,Repair Workshop,Precision Audio Visual,,2023-08-18,400.89,SN-561459,2028-12-11
AST-1040,Acer TravelMate P4,Laptop,Pending Disposal,Main Office,Precision Audio Visual,,2019-03-22,4078.81,SN-430027,2027-03-24
AST-1041,TP-Link Gigabit Hub,Networking Equipment,Under Maintenance,Retail Front,OfficeWorks Supply Co.,,2020-05-05,4034.36,SN-711893,2027-10-25
AST-1042,MacBook Air M2,Laptop,Disposed,Storage Warehouse,TechSource Solution,,2023-10-24,2835.1,SN-839211,2026-04-19
AST-1043,Cisco Catalyst 2960 Switch,Networking Equipment,Stolen,Retail Front,Gulf Coast IT Hardware,,2025-05-06,4841.27,SN-676112,2028-02-02
AST-1044,Acer TravelMate P4,Laptop,Stolen,Retail Front,Gulf Coast IT Hardware,,2021-05-21,4122.43,SN-127702,2027-12-21
AST-1045,securehub.org,Website Domain Name,Lost,Main Office,TechSource Solution,,2023-09-29,2501.02,SN-245542,2026-12-08
AST-1046,TP-Link Gigabit Hub,Networking Equipment,Disposed,Main Office,OfficeWorks Supply Co.,,2020-08-31,3054.82,SN-811038,2025-08-07
AST-1047,MacBook Air M2,Laptop,In Storage,Retail Front,Precision Audio Visual,,2024-08-03,3660.94,SN-658990,2025-02-23
AST-1048,MacBook Air M2,Laptop,Lost,Retail Front,Gulf Coast IT Hardware,,2019-06-29,1154.25,SN-334405,2025-11-26
AST-1049,Acer TravelMate P4,Laptop,Disposed,Repair Workshop,Precision Audio Visual,,2025-04-05,1093.46,SN-935090,2028-05-28
